題目,主題A,主題B,主題C,正確主題,老實人解釋,解釋
亞東六眼幽靈,昆蟲,都市傳說,人物,昆蟲,為幽靈蛾科六眼幽靈蛾屬的動物。在中國大陸，分布於西藏等地，主要生活於石縫、洞穴間。,
拉菲爾心理,藝術品,心理學,運動,心理學,拉菲爾為15世紀的藝術家，人們希望望著自己架構畫中的完美樣貌，但拉菲爾卻在自畫像中寫實描繪自己的不滿足，都想要改造自己的樣子。,
飛特族,工作,性質,運動習慣,工作,意指以兼職工作來維持生計的人，部分飛特族人士收入難以建立家庭，亦難以於事業上有晉升，基本上都是單人或是依賴父母生活。,
貝佛里奇的五大巨人,建築物,社會問題,武器,社會問題,英國經濟學者貝佛里奇指出社會經濟問題中的五大威脅：貧窮、疾病、無知、肮髒和懶惰，每一個都會影響到社會的經濟進步速度。,
老鼠樂園,藝術品,心理學,植物,心理學,加拿大学者提出毒品藥物成癮實驗，發現老鼠因為環境的壓力所造成，因此將老鼠放在一個提供生活所需以及財力擺設的環境中，檢測老鼠在快樂的環境下是否會繼續食用嗎啡。,
囚牛,畜牧,傳說,自然現象,傳說,明朝李東陽《記龍生九子》：囚牛，龍種，平生好音樂。今胡琴頭刻獸是其遺像。形狀有角黃色，喜歡聽音樂，所以很多樂師都用他的樣貌雕刻樂器進行雕塑。,
紫婆婆,都市傳說,著名人物,地區名稱,都市傳說,日本的都市傳說，為穿著紫色和服的老婆婆。紫婆婆會問你喜歡什麼顏色，如果回答「紫色」就不會攻擊你。此外，如果穿著紫色的衣服，也不會被攻擊。,
伏尼契手稿,書本,繪畫,樂譜,書本,一本內容不明的神秘書籍，附有插圖，卻與內文完全沒有關聯，似乎是中世紀煉金術士之參考書籍。命名原因是當時的購買者名叫伏尼契的波蘭商人。,
鐵處女像,藝術品,刑具,工具,刑具,中世紀歐洲用來處決或刑求的一種酷刑刑具，表示與埃及木乃伊棺材非常相似的刑具，內部有鐵製的尖刺，用於使犯人致死，因此過殘忍而遭到當時皇室的禁用。,
青藍冰火,文學,酒精飲料,化學現象,文學,一個成語，意思是「青出於藍，冰寒於水」的簡化說法。比喻學生超過老師或後人勝過前人。,
國士鍊成陣,動畫,法律,藝術品,動畫,動畫「鋼之鍊金術師」中的反派為了得到更多的生命能量，將整個國家設計成煉金術的陣法，並計畫消滅整個國家的所有生命來加強自己的能力。,
地球三明治,流行,食物,議題,流行,一個幽默的網絡挑戰，兩人站在地球的兩個對立點，各自把一塊面包放在地上，便可以把地球夾在兩塊面包中間。,
防守聖經獎,藝術,名人,運動,運動,是美國職業棒球聯賽從2006年開始的一個年度方法的獎項，在不防守位置，各選出一位防守表現最為杰出的球員並頒發獎項。,
瘋狂山脈,文學,氣象,化學,文學,是美國克蘇魯文化之父洛夫克拉夫特於1963年發表的科幻恐怖小說，講述一個考察隊在南極山脈上的發現之旅。,
胡杰哲,藝術,名人,歷史,藝術,查無此人，純屬虛構。,
金斯柏勒陰謀,政治,軍事,宗教,政治,發生於1605年，是一群英格蘭天主教極端分子試圖炸毀英國國會大廈，並殺害正在參加國會開幕典禮的英國國王詹姆士一世的失敗的暗殺行動。這次事件是1603年的主要陰謀（Main Plot）和次要陰謀（Bye Plot）之後又一次失敗的弒君企圖。,
奇異吸子,科幻,數學,用品,數學,是存在混沌系統中規律秩序的線索，是某些元素或力量浮現出來成為一個中心的組成部分環繞著事件運轉循環，其模式型態是環繞著奇異吸子潛藏在混沌系統裡發展。,
羊駝角,動物,地名,神話,地名,芬蘭某個寧靜的海角，然而當地卻沒有任何羊駝的存在，僅因為當地長老的女兒非常喜歡羊駝，故藉由羊為其海角命名。,
蒜頭村,人文,農作物,宗教,人文,位於臺灣嘉義縣六腳鄉東南部，有朴子溪流經，為六腳鄉鄉治所在地。自古富庶，有「九萬二千」之俗諺，意指當地大戶人家眾多，堪稱首善之區，所以名叫「算頭」，音就為「蒜頭」。,
玻璃山,神話,歷史,文學,神話,一則帶有寓言色彩的故事，在紐約的鬧市區，山下散落著無數因攀爬玻璃山失敗而喪命的人們的屍體。然而，主人公借助兩把廁所刷子痛苦卻勇敢地在玻璃山上爬。四周旁觀的行人不停地咒罵、嘲笑並等著看他的笑話，但儘管如此，主人公依然堅持往上爬，最終他登上峰頂，找到那個中了魔法的美麗象徵。不幸的是，他用手一碰，它就變成了一個美麗的公主。極度失望之下，他將公主失手往山腳下觀望的行人中拋去。,
囚徒困境,心理學,理論,電影,心理學,是賽局理論的非零和賽局中具代表性的例子，反映個人最佳選擇並非群體的最佳選擇，且在一個群體中，個人做出理性選擇卻往往導致集體的非理性。雖然這是一個理論上的情境，但現實中的價格競爭等也會出現類似情況。,
WHY,法律,地名,外國,地名,一個美國小鎮，本身因為位於Y字路口之間所以叫Y，但法律規定最少有3個字母，所以改名叫WHY。,
笨蛋三明治,影視,餐飲,傳說,影視,美國真人秀《地獄廚房》知名訓話片段，廚藝學院頭部明星主廚戈登拉姆齊拿吐司並重複「我是一个笨蛋三明治」。,
底護五世,歷史,甜點,人物,甜點,一種源於尼瓜拉瓜的蛋糕，將蛋糕浸泡於酒，再鋪上一層卡仕達醬，並撒上肉桂粉。名稱源於一個教宗。,
螞蟻吸允,地名,植物,寓言,地名,「螞蟻吸允」這個名字可追溯到19世紀。阿肯色河上的汽船船員常到這個小鎮酗酒，喝得肚子像螞蟻那樣鼓起來，小鎮因此得名。,
鬼蓮頭,電影,遊戲,食物,食物,燒賣的別稱，古代燒賣外型像豎起的頭髮，因而得名，此名稱出自清代的《揚州畫舫錄》。,
黑白熊事件,動物,動漫,飲料,動漫,1987年的元旦，台灣一家動物園展出了一隻疑似大熊貓的黑白熊，當時被誤認為台灣出現的野生熊貓，後來才發現這是一個人工塗色的商業噱頭。,
紅皇后假說,歷史,童話,心理學,歷史,生物學理論，指生物必須不停演化才能生存。引申自《愛麗絲夢遊仙境》中紅心皇后的對白：「你必須不停的跑，才能保持在原地」。,
綠孩童,靈異,人物,藝術,靈異,1887年8月的一天，在西班牙班賀斯附近，人們突然看見從山洞裡走出兩個綠孩子。人們不敢相信自己的眼睛，這兩個孩子皮膚是綠色的，衣服也從未見過。後來男孩死亡，女孩存活數年，來源成謎。,
4分33秒,音樂,動物,物理,音樂,一首著名的演奏樂曲，但沒有任何樂器的聲音，表演者只會做出擦汗、開合琴蓋等動作，有稱為「四分半的寂靜」。,
BJ聯盟,運動,時空,戰爭,運動,日本的職業籃球賽聯盟，在2016年中止，BJ的意思是Basketball Japan的縮寫。,
Doctor Who,影視,家電,大學,影視,是一款由BBC在1963年開始製作的科幻電視劇，中文譯名為神秘博士，講述一個博士作為時間管理者的冒險經歷。,
Ten-Four,航空,運動,警察,警察,Ten-Four是二十世紀初的通訊用語，表示收到消息、知道、立即執行等意思，目前常用於美國警察通訊術語。,
梧桐樹條約,股票,生態,政治,政治,梧桐樹條約是一個虛構或象徵性的名稱，常被用來指涉結合經濟利益、生態保護與政治談判的協議，用於討論政策如何在多重價值之間取得平衡。,
伊頓混亂,戰爭,疾病,甜點,甜點,伊頓混亂是一種經典的英式甜點，將蛋白霜、鮮奶油與水果混合，外觀雜亂卻口感豐富，也常被引申用來形容混合卻和諧的狀態。,
斯特魯普效應,反應,人口,小行星,反應,斯特魯普效應是心理學中的經典現象，描述人在處理文字意義與顏色資訊衝突時，反應時間會明顯變慢，顯示注意力資源的限制。,
西施舌,動物,美女,動作,動物,西施舌是一種貝類海鮮，因外型特殊而得名，常見於高級料理中，同時也因名稱帶有文化聯想而廣為人知。,
卡美洛,甜點,歷史,運動,歷史,卡美洛是亞瑟王傳說中的理想王國象徵，代表正義、榮耀與騎士精神，在文學與歷史想像中具有重要地位。,
卡瓦帝之舞,宗教,音樂,群聚,宗教,卡瓦帝之舞是一種源自印度教的宗教儀式舞蹈，信徒透過音樂、舞動與身體負重來展現虔誠與精神修行。,
黑老虎,水果,槍械,天氣,水果,黑老虎是一種水果或品種名稱，因外觀或色澤深沉而得名，名稱強烈，常讓人誤以為與動物或武器相關。,
波士頓動力,甜點,暗號,企業,企業,波士頓動力是一家知名科技公司，以研發先進機器人聞名，其產品常展示高度的動作協調與工程技術實力。,
奧菲斯蛋,動物,神話,軍火,神話,奧菲斯蛋帶有神話色彩，名稱源自古代傳說，常被用來指涉具有象徵意義或神秘起源的物件或概念。,
波士文法案,運動,環境,稅收,稅收,波士文法案通常指與稅收或制度改革相關的法案名稱，用來討論政府如何透過法規影響經濟行為與社會結構。,
水晶之夜,調酒,動畫,藝術,藝術,水晶之夜原本是歷史名詞，也常被借用於藝術或文化作品中，象徵破碎、轉折與黑暗時期的開始。,
綠閃光,動漫,方言,自然,自然,綠閃光是一種罕見的大氣光學現象，常出現在日落或日出瞬間，因色彩特殊而在自然觀測與文化中廣受討論。,
摩爾定律,遊戲,科技,數理,科技,摩爾定律描述半導體技術中電晶體數量隨時間倍增的趨勢，長期影響科技產業發展與運算能力提升。,
羽·泉,音樂,文學,景點,音樂,羽·泉是華語樂壇的重要音樂組合，以流行搖滾風格與廣泛傳唱的歌曲，在華語音樂史上佔有一席之地。,
松鼠鱘魚,食物,共生,特有種,特有種,松鼠鱘魚是一種名稱特殊的生物，常用來指涉具有地域性或生態獨特性的物種，引發人們對生物多樣性的關注。,
樓外樓,科幻,餐廳,氣候異常,餐廳,樓外樓是知名餐廳或文化品牌名稱，常出現在歷史與文學中，象徵飲食文化與地方傳統的結合。,
克林尼索,藝人,地區,貨幣,地區,克林尼索常被用作地名或文化稱呼，可能涉及特定區域的歷史背景與人文特色，名稱本身具有辨識性。,
幻椅式,運動,人際關係,動漫,運動,幻椅式是一種常見的體能或團隊活動動作，看似坐在空椅上，實際考驗下肢力量與團隊協調能力。,
抽象速度,物理,美術,動物,物理,抽象速度是一種概念性說法，用來描述難以具象化的速度感受，常出現在物理討論或藝術表現中。,
灰姑娘效應,密碼,心理學,時間,心理學,灰姑娘效應是心理學概念，描述繼親家庭中子女受到不公平對待的現象，常用於探討家庭結構與心理影響。,
辟剋,洗潔劑,五金,餐具,洗潔劑,辟剋是一種商品或品牌名稱，常見於清潔用品領域，名稱簡短有力，容易在市場中建立辨識度。,
藍色時期,歷史,藝術,政治,藝術,畢卡索在1900到1904年之間的創作時期，主要以陰鬱的藍色與藍綠色作畫，題材多表現貧困、孤獨與憂鬱情緒，為其重要藝術階段之一。,
芝加哥過濾器,社會,心理,行為,心理,指人們會依據所在地改變自身行為的心理現象，名稱來自芝加哥人被認為在外地表現得特別有禮貌的說法。,
利可靈,用品,化學,醫學,化學,又稱Iscorine，是石蒜科植物中發現的生物鹼，具有神經毒性，可能引起嘔吐等中毒反應。,
斐波那契數列,數學,藝術,自然,數學,一種數列結構，每一項皆為前兩項之和，廣泛出現在數學、生物與藝術比例中。,
神雪,宗教,藝術,人物,人物,日本模特兒與AV女優藝名，活躍於寫真與成人影像領域，所屬事務所為CAPSULEAGENCY。,
超級無敵我愛你,故事,動漫,影視,動漫,出自香港動漫作品中的虛構招式名稱，具有誇張與戲劇化特色。,
第34條法則,流行,網路,藝術,網路,網路文化中的非正式法則，主張任何事物都能在網路上找到色情相關內容。,
第二本書,歷史,政治,文學,歷史,希特勒未正式出版的著作，延續其極端政治思想，僅在後世被研究與整理。,
金屬,災難,謠報,樂器,樂器,冷戰時期的高階竊聽裝置，無需電源即可接收特定微波訊號。,
金熊獎,典禮,獎項,動物,典禮,柏林影展最高榮譽獎項之一，象徵電影藝術成就。,
軍刀綜合症,醫學,軍事,病症,醫學,一種罕見的先天性肺部血管異常疾病，因影像形似彎刀而得名。,
靠櫃玻璃,養殖,網路,感情,網路,源自網路用語，形容商品在櫃位前展示卻未實際販售的狀態。,
糞肥,購物,股票,植物,植物,由有機廢棄物製成的肥料，用於補充土壤養分並促進作物生長。,
流氓熊貓,遊戲,電影,動物,遊戲,出自電玩作品中的角色設定，性格兇狠但具人氣。,
冒煙測試,天災,程序,情侶,程序,軟體測試方法之一，用來快速檢查系統是否能基本運作。,
美麗的分泌物,生理,香水,心理學,香水,帶有獵奇風格的小眾香水，氣味模擬人體分泌物，引發話題。,
莫札特技術,海洋,電影,飲食,飲食,一種低溫乾燥保存技術，名稱取其縮寫，用於食品加工。,
曲折金字塔,心理學,埃及,經濟,埃及,曲折金字塔（Bent Pyramid）是位於埃及代赫舒爾（Dahshur）的一座金字塔，為埃及第四王朝法老斯尼夫魯時期所建造，是一座曲折金字塔。曲折金字塔是一個早期金字塔發展出的奇特範例，也是斯尼夫魯的第二座金字塔。考古學家相信曲折金字塔代表了一個金字塔由階梯金字塔轉變為表面光滑金字塔的過渡時期。,
日日日,文學,占卜,密碼,文學,一位日本的男性小說家，名字來源於晶字拆分，著作有《狂亂家族日記》。,
燒尻島,神話,地名,宗教,地名,一個位於日本北海道西方的島嶼，人口約三百人，名稱的意思是附近的島，源於日本少數民族的語言。,
舌尖效應,人文,心理學,生理,心理學,話到嘴邊卻突然想不起來的現象，是因為大腦對記憶內容的展示性抑制所造成的。,
生命之星,政治,藝術,標誌,標誌,表示急救單位或該人員的標誌，在各國的急救單位都會使用。呈藍色，六邊突出的星形，並在中間加上阿斯克勒庇俄斯之杖。,
史高維爾指標,登山,食品,財經,食品,是1912年由美國化學家所制定的測量辣椒素含量的一項指標，他的實驗方法是將被測物加一單位的辣椒素逐步溶解到糖水裡，然後交給不同人品嘗，直到無法嘗出辣味為止。,
史特金定律,物理學,社會學,心理學,社會學,史特金定律（Sturgeons Law），是科幻作家史特金提出的，定律的內容是：任何事物，其中90%都是垃圾。引申到的社區網站的內容上的意思是：社區所有的作品中，90%以上的作品都是垃圾。因此要有能力去篩選。一般而言，社區中只有1%的人在貢獻，10%的人參與評論，而90%是大多數的沉默者。,
譚納標準,生理,物理學,心理學,生理,由英國醫生發明，是測量身體性徵發育程度的標準。例如根據乳房大小、睪丸體積去判斷。,
天乳,天文,虛構,運動,天文,天乳是中國古代星官之一，星官是中國古代對行星及組合的方式，天乳位於現代星座劃分的巨蛇座，含有一顆恆星。,
土撥鼠之日,節日,傳說,氣象,節日,土撥鼠日，又可稱為土撥鼠節（Groundhog Day），是北美地區的傳統節日。每年公曆2月2日為土撥鼠日，美國和加拿大許多城市和村莊都會慶祝。自1887年以來，一代又一代的土撥鼠一直擔負著預報天氣的任務。根據傳說，如果土撥鼠能看到自己的影子，那麼北美的冬天還有6個星期才會結束；如果它看不到影子，春天不久就會來臨。,
烏加里,動物,飲食,顏色,飲食,非洲的澱粉類主食，外型很像饅頭，是水煮熟的玉米麵糊，口感與饅頭相近。,
無聊十億年,法則,歷史,小說,歷史,地球約18億年前到8億年前的一段時期，在這十億年間，地球生物與環境的變化都非常穩定，因此得名。,
小黃鴨法則,心理學,程序,動物,程序,此概念源自《程序員修煉之道》一書中的故事，指程式設計師在解釋程式碼時，假想對一隻小黃鴨逐行說明，藉此釐清邏輯與錯誤。,
薪能,藝術,錢,環保,藝術,日本的一種表演藝術，通常於夏季夜晚進行，人們在舞台附近點燃火堆，配合音樂進行表演，具有祭典與藝術性質。,
血刃科技,科學,風險,軍事,科學,指具有高風險且不一定可靠的技術，雖然可能帶來巨大成果，但同時伴隨高度不確定性與潛在危害，屬於雙面刃性質的科技。,
壓力鍋,名人,職業,標準,職業,一種比喻性的說法，指在高壓環境下承擔責任與工作的人或職位，需要對結果負全責，常用於職場或管理情境。,
一滴血原則,歷史,軍事,法律,法律,曾盛行於20世紀美國的法律與社會原則，只要一個人具有任何非白人血統，即被歸類為非白人，反映當時的種族歧視制度。,
伊達達拉獎,典禮,獎項,遊戲,獎項,源自某些遊戲或社群文化中的諷刺性獎項，用來形容表現極差或具爭議性的得獎者，帶有反諷與戲謔意味。,
鬱金香效應,經濟學,植物,心理學,經濟學,1637年發生於荷蘭的經濟泡沫事件，因鬱金香球根價格被過度炒作而暴漲，泡沫破裂後價格崩跌，造成嚴重的經濟混亂。,
炸西瓜,水果,軍事,運動,水果,一種表皮極為堅硬的西瓜品種，成熟時因內部壓力過大而可能爆裂，因此得名，屬於少見的自然現象。,
紫之隧道,遊戲,地名,傳說,地名,紫之隧道（Zizhi Tunnel）位於中國浙江省杭州市西湖區，是一條城市地下通道，座落於西湖風景區下方，亦為杭州快速道路系統的重要組成。,
切香腸戰術,政治,軍事,策略,政治,指透過逐步、小幅度行動來達成重大政治或軍事目標的策略，使對方在每一步都難以察覺或反制，最終造成既成事實。,
美女拳法,文化,武術,影視,武術,源自影視作品《神鵰俠侶》的虛構武學，由林朝英所創，每一招皆模仿古代美女姿態，結合武學與美感的概念。,
萊姆病,醫學,疾病,細菌,醫學,一種由蜱蟲傳播的細菌感染疾病，常見症狀包括遊走性紅斑、發燒、疲倦與關節不適，若未治療可能影響神經與心臟。,
100-1=0,心理學,人生,價值觀,心理學,形容人際關係中一次重大失誤，可能抹煞長期累積的善意與努力，反映人性對負面事件更為敏感的特性。,
茉莉三惡魔,娛樂,網路,人物,網路,源自美國網路事件的暱稱，指一名年輕女子以高額資金進行身體改造而爆紅，引發社群媒體的道德與審美爭議。,
蘑菇管理定律,管理,職場,心理,管理,比喻新人或基層員工在組織中被刻意隱瞞資訊，只能被動執行最基本工作，直到被認為具備成長價值。,
屁股眨眼,生理,運動,健康,生理,在深蹲等動作中因骨盆控制不足造成的姿勢問題，可能增加腰椎與關節受傷風險，是運動訓練中需注意的現象。,
番茄大戰,歷史,節慶,文化,文化,起源於西班牙的年度節慶活動，人們互相投擲熟番茄，從意外衝突演變為具有觀光與文化象徵的傳統。,
無聊小鎮,地名,文化,趣聞,地名,美國實際存在的小鎮，名稱源於居民對平淡生活的自嘲，後成為旅遊與網路話題。,
7+-2,心理學,記憶,數學,心理學,又稱短期記憶容量理論，指出人類一次能有效記住的資訊單位約為五到九個之間。,
台大醬料,網路,飲食,流行,網路,源自網路用語，將醫科生戲稱為醬料，並將台大醫科簡稱為台大醬料，帶有玩笑與自嘲意味。,
床山,職業,規範,文化,職業,指專業理髮或美容相關工作中，只有取得認證者才能進行特定操作，用以保障專業與安全。,
聰明漢斯,心理學,動物,實驗,心理學,20世紀著名心理學案例，揭示動物行為可能受到人類無意識暗示影響，對實驗設計產生深遠影響。,
獨裁按鈕,政治制度,電子產品,動畫,動畫道具,《哆啦A夢》中的道具，按下後會對指定對象產生不可逆的影響，常被用作探討權力、責任與後果的敘事工具。,
2006/3/5,軍事編碼,共識技巧,體能訓練,共識技巧,腦力書寫法的一種流程代號，代表六人參與、每輪提出三個點子、五分鐘輪轉，用於在團隊中快速累積大量創意。,
石頭帽,服飾,安全,動畫,動畫,《哆啦A夢》中的道具名稱，其效果為使配戴者在他人認知中被忽略存在感，是作品中明確定義且具規則限制的道具。,
